Title,Algorithms,Dataset,Accuracy
A cascade learning system for classification of diabetes disease: Generalized discriminant analysis and least square support vector machine,Support Vector Machine,Pima Indians Diabetes,82.05
A comparative study on diabetes disease diagnosis using neural networks,Artificial Neural Networks,Pima Indians Diabetes,82.37
A fuzzy classification system based on Ant Colony Optimization for diabetes disease diagnosis,Ant Colony,Pima Indians Diabetes,84.24
A Hybrid Prediction Model with F-score Feature Selection for Type II Diabetes Databases,Support Vector Machine,Pima Indians Diabetes,98.92
A Novel Breath Analysis System for Diabetes Diagnosis,k-Nearest Neighbor,Private Breath Data,
A Prediction Model to Diabetes Using Artificial Metaplasticity,Artificial Neural Networks,Pima Indians Diabetes,89.93
A sequential neural network model for diabetes prediction,Artificial Neural Networks,Private Health Data,
An automatic diabetes diagnosis system based on LDA-Wavelet Support Vector Machine Classifier,Support Vector Machine,Pima Indians Diabetes,89.74
An improved early detection method of type-2 diabetes mellitus using multiple classifier system,Support Vector Machine,Pima Indians Diabetes,75
An improved early detection method of type-2 diabetes mellitus using multiple classifier system,Bayesian Network,Pima Indians Diabetes,73
An improved early detection method of type-2 diabetes mellitus using multiple classifier system,Decision Trees,Pima Indians Diabetes,71
An improved early detection method of type-2 diabetes mellitus using multiple classifier system,Logistic Regression,Pima Indians Diabetes,70.5
An improved early detection method of type-2 diabetes mellitus using multiple classifier system,Artificial Neural Networks,Pima Indians Diabetes,70.2
Applying a Novel Combination of Techniques to Develop a Predictive Model for Diabetes Complications,Bayesian Network,AusDiab,
Automatic diagnosis of diabetes using adaptive neuro-fuzzy inference systems,Fuzzy System,Pima Indians Diabetes,98.14
Comparison between Neural Networks against Decision Tree in Improving Prediction Accuracy for Diabetes Mellitus,Decision Trees,Pima Indians Diabetes,89.3
Comparison between Neural Networks against Decision Tree in Improving Prediction Accuracy for Diabetes Mellitus,Artificial Neural Networks,Pima Indians Diabetes,81.9
Computerized information system using stacked generalization for diagnosis of diabetes mellitus,Stack Generalization,Pima Indians Diabetes,82
Decision tree discovery for the diagnosis of type II diabetes,Decision Trees,Pima Indians Diabetes,78.17
Design of a Breath Analysis System for Diabetes Screening and Blood Glucose Level Prediction,Support Vector Machine,Private Breath Data,
Diabetes Identification and Classification by Means of a Breath Analysis System,Support Vector Machine,Private Breath Data,75
Diagnosis of diabetes by using adaptive neuro fuzzy inference systems,Fuzzy System,Private Interview Data,
Empirical Study of Decision Trees and Ensemble Classifiers for Monitoring of Diabetes Patients in Pervasive Healthcare,Bagging,Private Health Data,94.53
Empirical Study of Decision Trees and Ensemble Classifiers for Monitoring of Diabetes Patients in Pervasive Healthcare,Stack Generalization,Private Health Data,91.99
Empirical Study of Decision Trees and Ensemble Classifiers for Monitoring of Diabetes Patients in Pervasive Healthcare,Boosting,Private Health Data,93.61
Evaluation of outcome prediction for a clinical diabetes database,Decision Trees,Private Health Data,78.73
Evaluation of outcome prediction for a clinical diabetes database,Bayesian Network,Private Health Data,72.91
Hierarchical Takagi-Sugeno type fuzzy system for diabetes mellitus forecasting,Fuzzy System,Pima Indians Diabetes,71.35
Modeling risk prediction of diabetes --- A preventive measure,Decision Trees,Pima Indians Diabetes,83.94
Modeling risk prediction of diabetes --- A preventive measure,Bayesian Network,Pima Indians Diabetes,80.28
Modeling risk prediction of diabetes --- A preventive measure,k-Nearest Neighbor,Pima Indians Diabetes,82.57
Prediction and diagnosis of diabetes mellitus --- A machine learning approach,Support Vector Machine,Pima Indians Diabetes,79.68
Prediction and diagnosis of diabetes mellitus --- A machine learning approach,Bayesian Network,Pima Indians Diabetes,79.687
Prediction and diagnosis of diabetes mellitus --- A machine learning approach,Decision Trees,Pima Indians Diabetes,77.6
Prediction of diabetes based on personal lifestyle indicators,Decision Trees,Private Interview Data,75
Prediction of Fasting Plasma Glucose Status Using Anthropometric Measures for Diagnosing Type 2 Diabetes,Logistic Regression,Private Health Data,
Prediction of Fasting Plasma Glucose Status Using Anthropometric Measures for Diagnosing Type 2 Diabetes,Bayesian Network,Private Health Data,
Prediction of morbidity and mortality in patients with type 2 diabetes,Cox Regression Model,Private Health Data,
Predictive and Preventive Models for Diabetes Prevention using Clinical Information in Electronic Health Record,Support Vector Machine,Private Health Data,66.9
Predictive and Preventive Models for Diabetes Prevention using Clinical Information in Electronic Health Record,Decision Trees,Private Health Data,89.5
Risk Prediction of Disease Complications in Type 2 Diabetes Patients Using Soft Computing Techniques,Genetic Algorithm,Private Health Data,95.5
Risk scores for predicting incidence of type 2 diabetes in the Chinese population: the Kailuan prospective study,Not Applicable,Private Health Data,
Screening for pre-diabetes using support vector machine model,Support Vector Machine,Private Interview Data,64.9
Using Bayes Network for Prediction of Type-2 diabetes,Bayesian Network,Pima Indians Diabetes,72.3
