BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
6,,ieee-124,"Pavate, A. & Ansari, N.",Risk Prediction of Disease Complications in Type 2 Diabetes Patients Using Soft Computing Techniques,,,,,,2015,,,,2015 Fifth International Conference on Advances in Computing and Communications (ICACC),,,,,,,,,,,,"Diabetes has become the fourth leading cause of death in developed countries. By the endurance and hasty spread of diabetes, with increased number of ill condition, complications in the disease all over the world, several methodologies have been developed to predict and prevent this chronic disease. An early diagnosis of disease helps patients and medical experts to reduce the problem, risk and cost of medications. This paper presented an efficient system to predict diabetes and further complications with risk level. In this system, methods including genetic algorithm, nearest neighbor, and fuzzy rule-based system have been used in order to provide an accurate prediction system to prepare for presence of diabetes and complications. In this system, 235 individual's data were collected. The best subsets of features generated by the implemented algorithm include the most common risk factors such as age, family history, BMI, weight, smoking habit, alcohol habit and also factors related to the presence of other diabetes complications considered for predication of disease. The proposed system was prejudiced and the results showed to be more suitable by selecting best subset of features selected using variations of genetic algorithm depending on the types of nearest neighbor. The succeeded results produced 95.83% sensitivity, 95.50% accuracy and 86.95% specificity on impenetrable data which support the effectiveness of the system to predict the disease.",,,,
6,,ieee-27,"Vijayan, V. V. & Anjali, C.",Prediction and diagnosis of diabetes mellitus --- A machine learning approach,,,,,,2015,,,,2015 IEEE Recent Advances in Intelligent Computational Systems (RAICS),,,,,,,,,,,,"Diabetes is a disease caused due of the expanded level of sugar fixation in the blood. Various computerized information systems were outlined utilizing diverse classifiers for anticipating and diagnosing diabetes. Selecting legitimate classifiers clearly expands the exactness and proficiency of the system. Here a decision support system is proposed that uses AdaBoost algorithm with Decision Stump as base classifier for classification. Additionally Support Vector Machine, Naive Bayes and Decision Tree are also implemented as base classifiers for AdaBoost algorithm for accuracy verification. The accuracy obtained for AdaBoost algorithm with decision stump as base classifier is 80.72% which is greater compared to that of Support Vector Machine, Naive Bayes and Decision Tree.",,,,
6,,ieee-43,"Vijayan, V. V. & Anjali, C.",Computerized information system using stacked generalization for diagnosis of diabetes mellitus,,,,,,2015,,,,2015 IEEE Recent Advances in Intelligent Computational Systems (RAICS),,,,,,,,,,,,"Diabetes mellitus is considered to be a severe health issue which is caused due to the presence of higher amount of plasma/glucose in the blood. A number of decision support systems were introduced to help medical experts for analyzing different factors that cause diabetes. Here a computerized information system is designed using Stacked Generalization for predicting diabetes. The classifiers under consideration are Decision Stump, Decision Tree, Naive Bayes and Support Vector Machine. The selection of Stacked Generalization is done after conducting a detail performance evaluation of individual classifiers and AdaBoost algorithm. The level of accuracy was varied from a lower value of 75 % to a higher value of 82 % by using Stacking algorithm.",,,,
6,,ieee-74,"Anand, A. & Shakti, D.",Prediction of diabetes based on personal lifestyle indicators,,,,,,2015,,,,2015 1st International Conference on Next Generation Computing Technologies (NGCT),,,,,,,,,,,,"Diabetes Mellitus or Diabetes has been portrayed as worse than Cancer and HIV (Human Immunodeficiency Virus). It develops when there are high blood sugar levels over a prolonged period. Recently, it has been quoted as a risk factor for developing Alzheimer, and a leading cause for blindness & kidney failure. Prevention of the disease is a hot topic for research in the healthcare community. Many techniques have been discovered to find the causes of diabetes and cure it. This research paper is a discussion on establishing a relationship between diabetes risk likely to be developed from a person's daily lifestyle activities such as his/her eating habits, sleeping habits, physical activity along with other indicators like BMI (Body Mass Index), waist circumference etc. Initially, a Chi-Squared Test of Independence was performed followed by application of the CART (Classification and Regression Trees) machine learning algorithm on the data and finally using Cross-Validation, the bias in the results was removed.",,,,
7,,ieee-104,"Lee, B. J.; Ku, B.; Nam, J.; Pham, D. D. & Kim, J. Y.",Prediction of Fasting Plasma Glucose Status Using Anthropometric Measures for Diagnosing Type 2 Diabetes,IEEE Journal of Biomedical and Health Informatics,,,,,2014,,,,,,,,,,,,,,,,"It is well known that body fat distribution and obesity are important risk factors for type 2 diabetes. Prediction of type 2 diabetes using a combination of anthropometric measures remains a controversial issue. This study aims to predict the fasting plasma glucose (FPG) status that is used in the diagnosis of type 2 diabetes by a combination of various measures among Korean adults. A total of 4870 subjects (2955 females and 1915 males) participated in this study. Based on 37 anthropometric measures, we compared predictions of FPG status using individual versus combined measures using two machine-learning algorithms. The values of the area under the receiver operating characteristic curve in the predictions by logistic regression and naive Bayes classifier based on the combination of measures were 0.741 and 0.739 in females, respectively, and were 0.687 and 0.686 in males, respectively. Our results indicate that prediction of FPG status using a combination of anthropometric measures was superior to individual measures alone in both females and males. We show that using balanced data of normal and high FPG groups can improve the prediction and reduce the intrinsic bias of the model toward the majority class.",,,,
7,,ieee-31,"Yan, K.; Zhang, D.; Wu, D.; Wei, H. & Lu, G.",Design of a Breath Analysis System for Diabetes Screening and Blood Glucose Level Prediction,IEEE Transactions on Biomedical Engineering,,,,,2014,,,,,,,,,,,,,,,,"It has been reported that concentrations of several biomarkers in diabetics' breath show significant difference from those in healthy people's breath. Concentrations of some biomarkers are also correlated with the blood glucose levels (BGLs) of diabetics. Therefore, it is possible to screen for diabetes and predict BGLs by analyzing one's breath. In this paper, we describe the design of a novel breath analysis system for this purpose. The system uses carefully selected chemical sensors to detect biomarkers in breath. Common interferential factors, including humidity and the ratio of alveolar air in breath, are compensated or handled in the algorithm. Considering the intersubject variance of the components in breath, we build subject-specific prediction models to improve the accuracy of BGL prediction. A total of 295 breath samples from healthy subjects and 279 samples from diabetic subjects were collected to evaluate the performance of the system. The sensitivity and specificity of diabetes screening are 91.51% and 90.77%, respectively. The mean relative absolute error for BGL prediction is 21.7%. Experiments show that the system is effective and that the strategies adopted in the system can improve its accuracy. The system potentially provides a noninvasive and convenient method for diabetes screening and BGL monitoring as an adjunct to the standard criteria.",,,,
6,,ieee-73,"Prasad, B. R. & Agarwal, S.",Modeling risk prediction of diabetes --- A preventive measure,,,,,,2014,,,,2014 9th International Conference on Industrial and Information Systems (ICIIS),,,,,,,,,,,,"Databases in clinical scenario have tremendous amount of data regarding patients and clinical history associated. Here, data mining plays vital role in searching for patterns within huge clinical data that could provide useful basis of knowledge for efficient and effective decision-making. Classification mechanism is widely used tool of data mining employed in healthcare applications to facilitate disease diagnosis and prediction. Usually medical dataset are high dimension in nature containing many insignificant attributes or features and result poor classification with inaccuracies. Feature selection is a technique used for preprocessing the high-dimensional data to reduce data dimension and to remove redundant and irrelevant features. This paper provides a systematic data mining approach for selecting best indicators of diabetes among many attributes present in the database and gives an appropriate model to track the diabetes before its onset. It selects the most appropriate classifier model for the given dataset through voting mechanism to achieve best accuracy and eliminating any biased result.",,,,
6,,ieee-21,"Kelarev, A. V.; Stranieri, A.; Yearwood, J. L. & Jelinek, H. F.",Empirical Study of Decision Trees and Ensemble Classifiers for Monitoring of Diabetes Patients in Pervasive Healthcare,,,,,,2012,,,,2012 15th International Conference on Network-Based Information Systems,,,,,,,,,,,,"Diabetes is a condition requiring continuous everyday monitoring of health related tests. To monitor specific clinical complications one has to find a small set of features to be collected from the sensors and efficient resource-aware algorithms for their processing. This article is concerned with the detection and monitoring of cardiovascular autonomic neuropathy, CAN, in diabetes patients. Using a small set of features identified previously, we carry out an empirical investigation and comparison of several ensemble methods based on decision trees for a novel application of the processing of sensor data from diabetes patients for pervasive health monitoring of CAN. Our experiments relied on an extensive database collected by the Diabetes Complications Screening Research Initiative at Charles Sturt University and concentrated on the particular task of the detection and monitoring of cardiovascular autonomic neuropathy. Most of the features in the database can now be collected using wearable sensors. Our experiments included several essential ensemble methods, a few more advanced and recent techniques, and a novel consensus function. The results show that our novel application of the decision trees in ensemble classifiers for the detection and monitoring of CAN in diabetes patients achieved better performance parameters compared with the outcomes obtained previously in the literature.",,,,
6,,ieee-35,"Guo, Yang; Bai, Guohua & Hu, Yan",Using Bayes Network for Prediction of Type-2 diabetes,,,,,,2012,,,,"Internet Technology And Secured Transactions, 2012 International Conference for",,,,,,,,,,,,"Diabetes mellitus is a chronic disease and a major public health challenge worldwide. Using data mining methods to aid people to predict diabetes has become a popular topic. In this paper, Bayes Network was proposed to predict patients with developing Type-2 diabetes. The dataset used is the Pima Indians Diabetes Data Set, which collects the information of patients with and without developing Type-2 diabetes. Weka software was used throughout this study. Accurate results have been obtained which proves using the proposed Bayes network to predict Type-2 diabetes is effective.",,,,
6,,ieee-18,"Jarullah, A. A. Al",Decision tree discovery for the diagnosis of type II diabetes,,,,,,2011,,,,"Innovations in Information Technology (IIT), 2011 International Conference on",,,,,,,,,,,,"The discovery of knowledge from medical databases is important in order to make effective medical diagnosis. The aim of data mining is to extract knowledge from information stored in database and generate clear and understandable description of patterns. In this study, decision tree method was used to predict patients with developing diabetes. The dataset used is the Pima Indians Diabetes Data Set, which collects the information of patients with and without developing diabetes. The study goes through two phases. The first phase is data preprocessing including attribute identification and selection, handling missing values, and numerical discretization. The second phase is a diabetes prediction model construction using the decision tree method. Weka software was used throughout all the phases of this study.",,,,
