Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Custom1
ieee-105,"Fico, G.; Fioravanti, A.; Arredondo, M. Teresa; Gorman, J.; Diazzi, C.; Arcuri, G.; Conti, C. & Pirini, G.",Integration of Personalized Healthcare Pathways in an ICT Platform for Diabetes Managements: A Small-Scale Exploratory Study,IEEE Journal of Biomedical and Health Informatics,,,,,2016,,,,,,,,,The availability of new tools able to support patient monitoring and personalized care may substantially improve the quality of chronic disease management. A personalized healthcare pathway (PHP) has been developed for diabetes disease management and integrated into an information and communication technology system to accomplish a shift from organization-centered care to patient-centered care. A small-scale exploratory study was conducted to test the platform. Preliminary results are presented that shed light on how the PHP influences system usage and performance outcomes.
ieee-36,"Pesl, P.; Herrero, P.; Reddy, M.; Xenou, M.; Oliver, N.; Johnston, D.; Toumazou, C. & Georgiou, P.",An Advanced Bolus Calculator for Type 1 Diabetes: System Architecture and Usability Results,IEEE Journal of Biomedical and Health Informatics,,,,,2016,,,,,,,,,"This paper presents the architecture and initial usability results of an advanced insulin bolus calculator for diabetes (ABC4D), which provides personalized insulin recommendations for people with diabetes by differentiating between various diabetes scenarios and automatically adjusting its parameters over time. The proposed platform comprises two main components: a smartphone-based patient platform allowing manual input of glucose and variables affecting blood glucose levels (e.g., meal carbohydrate content and exercise) and providing real-time insulin bolus recommendations; and a clinical revision platform to supervise the automatic adaptations of the bolus calculator parameters. The system implements a previously in silico validated bolus calculator algorithm based on case-based reasoning, which uses information from similar past events (i.e., cases) to suggest improved personalized insulin bolus recommendations and automatically learns from new events. Usability of ABC4D was assessed by analyzing the system usage at the end of a six-week pilot study (n = 10). Further feedback on the use of ABC4D has been obtained from each participant at the end of the study from a usability questionnaire. On average, each participant requested 115 $pm$ 21 insulin recommendations, of which 103 $pm$ 28 (90%) were accepted. The clinical revision software proposed a total of 754 case revisions, where 723 (96%) adaptations were approved by a clinical expert and updated in the patient platform."
ieee-46,"Jung, M.; Park, S. M.; Ryu, Y.; Lim, G. & Song, J.",Understanding Patients' Needs in Diabetes for Mobile Health -- A Case Study,,,,,,2016,,,,2016 IEEE 29th International Symposium on Computer-Based Medical Systems (CBMS),,,,,"To understand how to encourage patients to become involved in mobile health (mHealth) development, and to identify their needs that existing mHealth services to not meet, we conducted a case study with diabetes patients. First, we used video analysis or interview to assess the usability of existing apps. Second, we conducted interviews with patients to elicit their clinical needs. We conclude that an mHealth app should provide 1) a function that can inform information about their insulin reaction to specific foods that they have previously eaten, 2) a report in doctor-familiar format to communicate with doctor easily, and 3) reviews of restaurants in SNS format. We developed a blood glucose management software Glucolight."
ieee-50,"Srikanth, P. & Deverapalli, D.",A Critical Study of Classification Algorithms Using Diabetes Diagnosis,,,,,,2016,,,,2016 IEEE 6th International Conference on Advanced Computing (IACC),,,,,"This paper predicts the Diabetes Disease based on Data Mining Techniques of Classification Algorithms. Classification Algorithm and tools may reduce heavy work on Doctors. In this paper Evaluated as Classification Algorithms for the Classify of some Diabetes Disease Patient Datasets. Data Mining is one of the main Algorithm is Classification. Classification Algorithm Examine of the Decision Tree Algorithm, Byes Algorithm and Rule based Algorithm. These algorithms are evaluate Error Rates and identify of the patients based evolution Function of the measure the accurate results."
ieee-95,"Turksoy, K.; Samadi, S.; Feng, J.; Littlejohn, E.; Quinn, L. & Cinar, A.",Meal Detection in Patients With Type 1 Diabetes: A New Module for the Multivariable Adaptive Artificial Pancreas Control System,IEEE Journal of Biomedical and Health Informatics,,,,,2016,,,,,,,,,A novel meal-detection algorithm is developed based on continuous glucose measurements. Bergman's minimal model is modified and used in an unscented Kalman filter for state estimations. The estimated rate of appearance of glucose is used for meal detection. Data from nine subjects are used to assess the performance of the algorithm. The results indicate that the proposed algorithm works successfully with high accuracy. The average change in glucose levels between the meals and the detection points is 16($\pm$9.42) [mg/dl] for 61 successfully detected meals and snacks. The algorithm is developed as a new module of an integrated multivariable adaptive artificial pancreas control system. Meal detection with the proposed method is used to administer insulin boluses and prevent most of postprandial hyperglycemia without any manual meal announcements. A novel meal bolus calculation method is proposed and tested with the UVA/Padova simulator. The results indicate significant reduction in hyperglycemia.
ieee-106,"Burda, V.; Nov&#225, D. & k",Mobiab system for diabetes mellitus compensation,,,,,,2015,,,,"Computational Intelligence for Multimedia Understanding (IWCIM), 2015 International Workshop on",,,,,"The Mobiab system is complex system for diabetes mellitus compensation. This system is designed as client-server with mobile application and web portal. The application can collect data about patient's caloric intake and expenditure, can communicate via Bluetooth with glucose meter, tonometer and scales. The mobile application is using gamification principles for patient's positive motivation. The web portal gives to physicians a way to supervise their patients. The Mobiab system is almost prepared for pilot testing and after successful test also for clinical study."
ieee-114,"Zhao, C. & Yu, C.",Rapid Model Identification for Online Subcutaneous Glucose Concentration Prediction for New Subjects With Type I Diabetes,IEEE Transactions on Biomedical Engineering,,,,,2015,,,,,,,,,"Goal: For conventional modeling methods, the work of model identification has to be repeated with sufficient data for each subject because different subjects may have different response to exogenous inputs. This may cause repetitive cost and burden for patients and clinicians and require a lot of modeling efforts. Here, to overcome the aforementioned problems, a rapid model development strategy for new subjects is proposed using the idea of model migration for online glucose prediction. Methods: First, a base model is obtained that can be empirically identified from any subject or constructed by a priori knowledge. Then, parameters of inputs in the base model are properly revised based on a small amount of new data from new subjects so that the updated models can reflect the specific glucose dynamics excited by inputs for new subjects. These problems are investigated by developing autoregressive models with exogenous inputs (ARX) based on 30 in silico subjects using UVA/Padova metabolic simulator. Results: The prediction accuracy of the rapid modeling method is comparable to that for subject-dependent modeling method for some cases. Also, it can present better generalization ability. Conclusion: The proposed method can be regarded as an effective and economic modeling method instead of repetitive subject-dependent modeling method especially for lack of modeling data."
ieee-117,"Wang, L.; Pedersen, P. C.; Strong, D. M.; Tulu, B.; Agu, E. & Ignotz, R.",Smartphone-Based Wound Assessment System for Patients With Diabetes,IEEE Transactions on Biomedical Engineering,,,,,2015,,,,,,,,,"Diabetic foot ulcers represent a significant health issue. Currently, clinicians and nurses mainly base their wound assessment on visual examination of wound size and healing status, while the patients themselves seldom have an opportunity to play an active role. Hence, a more quantitative and cost-effective examination method that enables the patients and their caregivers to take a more active role in daily wound care potentially can accelerate wound healing, save travel cost and reduce healthcare expenses. Considering the prevalence of smartphones with a high-resolution digital camera, assessing wounds by analyzing images of chronic foot ulcers is an attractive option. In this paper, we propose a novel wound image analysis system implemented solely on the Android smartphone. The wound image is captured by the camera on the smartphone with the assistance of an image capture box. After that, the smartphone performs wound segmentation by applying the accelerated mean-shift algorithm. Specifically, the outline of the foot is determined based on skin color, and the wound boundary is found using a simple connected region detection method. Within the wound boundary, the healing status is next assessed based on red-yellow-black color evaluation model. Moreover, the healing status is quantitatively assessed, based on trend analysis of time records for a given patient. Experimental results on wound images collected in UMASS-Memorial Health Center Wound Clinic (Worcester, MA) following an Institutional Review Board approved protocol show that our system can be efficiently used to analyze the wound healing status with promising accuracy."
ieee-120,"Sowjanya, K.; Singhal, A. & Choudhary, C.",MobDBTest: A machine learning based system for predicting diabetes risk using mobile devices,,,,,,2015,,,,"Advance Computing Conference (IACC), 2015 IEEE International",,,,,"Diabetes mellitus (DM) is reaching possibly epidemic proportions in India. The degree of disease and destruction due to diabetes and its potential complications are enormous, and originated a significant health care burden on both households and society. The concerning factor is that diabetes is now being proven to be linked with a number of complications and to be occurring at a comparatively younger age in the country. In India, the migration of people from rural to urban areas and corresponding modification in lifestyle are all moving the degree of diabetes. Deficiency of knowledge about diabetes causes untimely death among the population at large. Therefore, acquiring a proficiency that should spread awareness about diabetes may affect the people in India. In this work, a mobile/android application based solution to overcome the deficiency of awareness about diabetes has been shown. The application uses novel machine learning techniques to predict diabetes levels for the users. At the same time, the system also provides knowledge about diabetes and some suggestions on the disease. A comparative analysis of four machine learning (ML) algorithms were performed. The Decision Tree (DT) classifier outperforms amongst the 4 ML algorithms. Hence, DT classifier is used to design the machinery for the mobile application for diabetes prediction using real world dataset collected from a reputed hospital in the Chhattisgarh state of India."
ieee-121,"Alharbi, R. F.; Berri, J. & El-Masri, S.",Ontology based clinical decision support system for diabetes diagnostic,,,,,,2015,,,,"Science and Information Conference (SAI), 2015",,,,,"This paper presents a diagnosis and treatment recommendation system for diabetes. The system considers patient information, symptoms and signs, risk factors and lab tests and suggests a treatment plan according to the diabetes type as recommended by the Clinical Practice Guidelines (CPG). The work consisted in the acquisition, modeling and implementation of diabetes domain expertise from experts, the CPG and other sources to develop a domain ontology and a decision support system to handle the diabetes in an early stage. The proposed system uses an ontology to allow a standard representation of domain concepts and relationships and enable clinical knowledge sharing, update and reuse. The proposed ontology is designed and developed by OWL-DL, the rules are constructed by the Semantic Web Rule Language (SWRL) and executed by JESS inference engine."
