BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Custom1
6,,ieee-50,"Srikanth, P. & Deverapalli, D.",A Critical Study of Classification Algorithms Using Diabetes Diagnosis,,,,,,2016,,,,2016 IEEE 6th International Conference on Advanced Computing (IACC),,,,,"This paper predicts the Diabetes Disease based on Data Mining Techniques of Classification Algorithms. Classification Algorithm and tools may reduce heavy work on Doctors. In this paper Evaluated as Classification Algorithms for the Classify of some Diabetes Disease Patient Datasets. Data Mining is one of the main Algorithm is Classification. Classification Algorithm Examine of the Decision Tree Algorithm, Byes Algorithm and Rule based Algorithm. These algorithms are evaluate Error Rates and identify of the patients based evolution Function of the measure the accurate results."
7,,ieee-114,"Zhao, C. & Yu, C.",Rapid Model Identification for Online Subcutaneous Glucose Concentration Prediction for New Subjects With Type I Diabetes,IEEE Transactions on Biomedical Engineering,,,,,2015,,,,,,,,,"Goal: For conventional modeling methods, the work of model identification has to be repeated with sufficient data for each subject because different subjects may have different response to exogenous inputs. This may cause repetitive cost and burden for patients and clinicians and require a lot of modeling efforts. Here, to overcome the aforementioned problems, a rapid model development strategy for new subjects is proposed using the idea of model migration for online glucose prediction. Methods: First, a base model is obtained that can be empirically identified from any subject or constructed by a priori knowledge. Then, parameters of inputs in the base model are properly revised based on a small amount of new data from new subjects so that the updated models can reflect the specific glucose dynamics excited by inputs for new subjects. These problems are investigated by developing autoregressive models with exogenous inputs (ARX) based on 30 in silico subjects using UVA/Padova metabolic simulator. Results: The prediction accuracy of the rapid modeling method is comparable to that for subject-dependent modeling method for some cases. Also, it can present better generalization ability. Conclusion: The proposed method can be regarded as an effective and economic modeling method instead of repetitive subject-dependent modeling method especially for lack of modeling data."
6,,ieee-120,"Sowjanya, K.; Singhal, A. & Choudhary, C.",MobDBTest: A machine learning based system for predicting diabetes risk using mobile devices,,,,,,2015,,,,"Advance Computing Conference (IACC), 2015 IEEE International",,,,,"Diabetes mellitus (DM) is reaching possibly epidemic proportions in India. The degree of disease and destruction due to diabetes and its potential complications are enormous, and originated a significant health care burden on both households and society. The concerning factor is that diabetes is now being proven to be linked with a number of complications and to be occurring at a comparatively younger age in the country. In India, the migration of people from rural to urban areas and corresponding modification in lifestyle are all moving the degree of diabetes. Deficiency of knowledge about diabetes causes untimely death among the population at large. Therefore, acquiring a proficiency that should spread awareness about diabetes may affect the people in India. In this work, a mobile/android application based solution to overcome the deficiency of awareness about diabetes has been shown. The application uses novel machine learning techniques to predict diabetes levels for the users. At the same time, the system also provides knowledge about diabetes and some suggestions on the disease. A comparative analysis of four machine learning (ML) algorithms were performed. The Decision Tree (DT) classifier outperforms amongst the 4 ML algorithms. Hence, DT classifier is used to design the machinery for the mobile application for diabetes prediction using real world dataset collected from a reputed hospital in the Chhattisgarh state of India."
6,,ieee-124,"Pavate, A. & Ansari, N.",Risk Prediction of Disease Complications in Type 2 Diabetes Patients Using Soft Computing Techniques,,,,,,2015,,,,2015 Fifth International Conference on Advances in Computing and Communications (ICACC),,,,,"Diabetes has become the fourth leading cause of death in developed countries. By the endurance and hasty spread of diabetes, with increased number of ill condition, complications in the disease all over the world, several methodologies have been developed to predict and prevent this chronic disease. An early diagnosis of disease helps patients and medical experts to reduce the problem, risk and cost of medications. This paper presented an efficient system to predict diabetes and further complications with risk level. In this system, methods including genetic algorithm, nearest neighbor, and fuzzy rule-based system have been used in order to provide an accurate prediction system to prepare for presence of diabetes and complications. In this system, 235 individual's data were collected. The best subsets of features generated by the implemented algorithm include the most common risk factors such as age, family history, BMI, weight, smoking habit, alcohol habit and also factors related to the presence of other diabetes complications considered for predication of disease. The proposed system was prejudiced and the results showed to be more suitable by selecting best subset of features selected using variations of genetic algorithm depending on the types of nearest neighbor. The succeeded results produced 95.83% sensitivity, 95.50% accuracy and 86.95% specificity on impenetrable data which support the effectiveness of the system to predict the disease."
6,,ieee-127,"Purushottam; Saxena, K. & Sharma, R.",Diabetes mellitus prediction system evaluation using C4.5 rules and partial tree,,,,,,2015,,,,"Reliability, Infocom Technologies and Optimization (ICRITO) (Trends and Future Directions), 2015 4th International Conference on",,,,,"Diabetes disease prediction is a progressive area of research in the healthcare Sector. Although many data mining techniques have been employed to assess the main causes of diabetes, but only few sets of clinical risk factors are considered. Due to this, some important factors like pre-diabetes health conditions are not considered in their analysis. So the results produced by such techniques may not represent appropriate diabetes pattern and risk factors appropriately."
6,,ieee-19,"Singla, J.",Comparative study of Mamdani-type and Sugeno-type fuzzy inference systems for diagnosis of diabetes,,,,,,2015,,,,"Computer Engineering and Applications (ICACEA), 2015 International Conference on Advances in",,,,,Fuzzy inference systems for diagnosis of diabetes are developed using Mamdani-type and Sugeno-type fuzzy models. The outcome obtained by two fuzzy inference systems is evaluated. This paper summarizes the essential variation among the Mamdani-type and Sugeno-type fuzzy inference systems. MATLAB fuzzy logic toolbox is used for the simulation of both the models. This also confirms which one is a superior choice of the two fuzzy inference systems for diagnosis of diabetes.
6,,ieee-27,"Vijayan, V. V. & Anjali, C.",Prediction and diagnosis of diabetes mellitus --- A machine learning approach,,,,,,2015,,,,2015 IEEE Recent Advances in Intelligent Computational Systems (RAICS),,,,,"Diabetes is a disease caused due of the expanded level of sugar fixation in the blood. Various computerized information systems were outlined utilizing diverse classifiers for anticipating and diagnosing diabetes. Selecting legitimate classifiers clearly expands the exactness and proficiency of the system. Here a decision support system is proposed that uses AdaBoost algorithm with Decision Stump as base classifier for classification. Additionally Support Vector Machine, Naive Bayes and Decision Tree are also implemented as base classifiers for AdaBoost algorithm for accuracy verification. The accuracy obtained for AdaBoost algorithm with decision stump as base classifier is 80.72% which is greater compared to that of Support Vector Machine, Naive Bayes and Decision Tree."
6,,ieee-43,"Vijayan, V. V. & Anjali, C.",Computerized information system using stacked generalization for diagnosis of diabetes mellitus,,,,,,2015,,,,2015 IEEE Recent Advances in Intelligent Computational Systems (RAICS),,,,,"Diabetes mellitus is considered to be a severe health issue which is caused due to the presence of higher amount of plasma/glucose in the blood. A number of decision support systems were introduced to help medical experts for analyzing different factors that cause diabetes. Here a computerized information system is designed using Stacked Generalization for predicting diabetes. The classifiers under consideration are Decision Stump, Decision Tree, Naive Bayes and Support Vector Machine. The selection of Stacked Generalization is done after conducting a detail performance evaluation of individual classifiers and AdaBoost algorithm. The level of accuracy was varied from a lower value of 75 % to a higher value of 82 % by using Stacking algorithm."
6,,ieee-45,"Georga, E. I.; Protopappas, V. C.; Polyzos, D. & Fotiadis, D. I.",Online prediction of glucose concentration in type 1 diabetes using extreme learning machines,,,,,,2015,,,,2015 37th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),,,,,"We propose an online machine-learning solution to the problem of nonlinear glucose time series prediction in type 1 diabetes. Recently, extreme learning machine (ELM) has been proposed for training single hidden layer feed-forward neural networks. The high accuracy and fast learning speed of ELM drive us to investigate its applicability to the glucose prediction problem. Given that diabetes self-monitoring data are received sequentially, we focus on online sequential ELM (OS-ELM) and online sequential ELM kernels (KOS-ELM). A multivariate feature set is utilized concerning subcutaneous glucose, insulin therapy, carbohydrates intake and physical activity. The dataset comes from the continuous multi-day recordings of 15 type 1 patients in free-living conditions. Assuming stationarity and evaluating the performance of the proposed method by 10-fold cross- validation, KOS-ELM were found to perform better than OS-ELM in terms of prediction error, temporal gain and regularity of predictions for a 30-min prediction horizon."
6,,ieee-66,"Tafa, Z.; Pervetica, N. & Karahoda, B.",An intelligent system for diabetes prediction,,,,,,2015,,,,2015 4th Mediterranean Conference on Embedded Computing (MECO),,,,,"With the emerging increase of diabetes, that recently affects around 346 million people, of which more than one-third go undetected in early stage, a strong need for supporting the medical decision-making process is generated. A number of researches have focused either in using one of the algorithms or in the comparisons of the performances of algorithms on a given, usually predefined and static datasets that are accessible through the Internet. This paper focuses on the joint implementation of the support vector machine (SVM) and Na{\\i}ve Bayes statistical modeling"
6,,ieee-74,"Anand, A. & Shakti, D.",Prediction of diabetes based on personal lifestyle indicators,,,,,,2015,,,,2015 1st International Conference on Next Generation Computing Technologies (NGCT),,,,,"Diabetes Mellitus or Diabetes has been portrayed as worse than Cancer and HIV (Human Immunodeficiency Virus). It develops when there are high blood sugar levels over a prolonged period. Recently, it has been quoted as a risk factor for developing Alzheimer, and a leading cause for blindness & kidney failure. Prevention of the disease is a hot topic for research in the healthcare community. Many techniques have been discovered to find the causes of diabetes and cure it. This research paper is a discussion on establishing a relationship between diabetes risk likely to be developed from a person's daily lifestyle activities such as his/her eating habits, sleeping habits, physical activity along with other indicators like BMI (Body Mass Index), waist circumference etc. Initially, a Chi-Squared Test of Independence was performed followed by application of the CART (Classification and Regression Trees) machine learning algorithm on the data and finally using Cross-Validation, the bias in the results was removed."
6,,ieee-82,"Vijayan, V. V. & Anjali, C.",Decision support systems for predicting diabetes mellitus --- A Review,,,,,,2015,,,,"Communication Technologies (GCCT), 2015 Global Conference on",,,,,"Diabetes mellitus is caused due to the increased level of sugar content in the blood. This can cause series complications like kidney failure, stroke, cancer, heart disease and blindness. The early detection and diagnosis, helps to identify and avoid these complications. A number of computerized information systems were designed using different classifiers for predicting and diagnosing diabetes. Selecting proper algorithms for classification clearly increases the accuracy and efficiency of the system. The main objective of this study is to review the benefits of different preprocessing techniques for decision support systems for predicting diabetes which are based on Support Vector Machine (SVM), Naive Bayes classifier and Decision Tree. The preprocessing methods focused on this study are Principal Component Analysis and Discretization. The accuracy variation with and without preprocessing techniques are also evaluated. The tool under consideration is the Weka for this study. The dataset was taken from the University of California, Irvine (UCI) repository of machine learning."
6,,ieee-84,"Douali, N.; Dollon, J. & Jaulent, M. C.",Personalized prediction of gestational Diabetes using a clinical decision support system,,,,,,2015,,,,"Fuzzy Systems (FUZZ-IEEE), 2015 IEEE International Conference on",,,,,"Diabetes mellitus is a group of metabolic disorders characterized by hyperglycemia resulting from defective secretion and/or insulin action. Biological criteria for diagnosis are established and reviewed by an international committee of experts from the American Diabetes Association. A type of diabetes that was little known caused by physiological consequences such pregnancy, gestational diabetes. Gestational diabetes is a disorder of glucose tolerance occurred or first recognized during pregnancy. The excess glucose in the mother is transmitted to the fetus. This paper present and describe a new methodology on Gestational diabetes prediction by using Case Based Fuzzy Cognitive Maps decision support system."
6,,ieee-96,"Knok, Z.; Avdagic, Z. & Omanovic, S.",Hybride neuro-fuzzy expert system for assessing diabetes risk,,,,,,2015,,,,"Information and Communication Technology, Electronics and Microelectronics (MIPRO), 2015 38th International Convention on",,,,,There is an increasing number of diabetic diseases in the population. Early diagnosis increases possibility of healing and decreases healing expenses. This paper is focused on modeling of an expert system for assessing diabetes risk using artificial intelligence methods. The model is hierarchical with neuro-fuzzy blocks and voting on the output. Model optimization (learning) is done using the data of real patients acquired in a one public health institution. The expert system is implemented in the Matlab/Simulink environment. Validation of the system shows high sensitivity of 100% which is important for early diagnoses. Specificity is lower - only 90% which means that some patients are sent to further diagnoses although they are healthy. Results indicate that this modeling approach is applicable on assessing diabetes risk. The medical domain knowledge and experience contained in the real data is successfully transferred in the solution model - the proposed expert system. Validation of the proposed expert system indicates that such a system can be used as an auxiliary expert for early diagnoses of diabetes and improve the quality of health systems with lower diagnostic expenses.
6,,ieee-98,"Lalka, N. & Jain, S.",Fuzzy based expert system for diabetes diagnosis and insulin dosage control,,,,,,2015,,,,"Computing, Communication & Automation (ICCCA), 2015 International Conference on",,,,,"The paper presents a fuzzy based expert system to handle the dynamics of diabetes diagnosis and its medication. Imprecise, vague and uncertain information is handled effectively to diagnose the Type-1 diabetes in an individual. Parameters like body mass index (bmi), plasma glucose level, minimum blood pressure and serum insulin level are used for the diagnosis based on the fuzzy logic, and the severity or probability of Type-1 diabetes is calculated. An insulin dosage (units/kg/day) is recommended by considering two attributes, i.e., plasma glucose level and bmi. Different levels of plasma glucose are captured on a daily basis to compute required dosage levels. Fuzzy logic tends to accurately calculate the probability to avoid any hypoglycemic condition in a diabetic. The final output is semantically arranged which depicts different parameters in terms of the fuzzy numbers like low, medium or high, and the probability of diagnosis in terms of five such fuzzy numbers like very low, low, medium, high or very high. This expert system can be effectively used for Type-1 diabetes diagnosis."
6,,ieee-99,"Saji, S. A. & Balachandran, K.",Performance analysis of training algorithms of multilayer perceptrons in diabetes prediction,,,,,,2015,,,,"Computer Engineering and Applications (ICACEA), 2015 International Conference on Advances in",,,,,"Artificial Intelligence plays a vital role in developing machines or software that can create intelligence. Artificial Neural Networks is a field of neuroscience which contributes tremendous developments in Artificial Intelligence. This paper focuses on the study of performance of various training algorithms of Multilayer Perceptrons in Diabetes Prediction. In this study, we have used Pima Indian Diabetes data set from UCI Machine Learning Repository as input dataset. The system is implemented in MatlabR2013. The Pima Indian Diabetes dataset consists of about 768 instances. The input data is the patient history and the target output is the prediction result as tested positive or tested negative. From the performance analysis, it was observed that out of all the training algorithms, Levenberg-Marquardt Algorithm has given optimal training results."
6,978-1-63190-045-7,Kardas:2015:TDP:2826165.2826227,"Kardas, Przemys\law & Lewandowski, Krzysztof",Type 2 Diabetes Patients Assessment of the COMODITY12 mHealth System,,,,,325--329,2015,"ICST, Brussels, Belgium, Belgium",,http://dl.acm.org/citation.cfm?id=2826165.2826227,Proceedings of the 9th International Conference on Pervasive Computing Technologies for Healthcare,,,PervasiveHealth '15,,
6,,Goodarzi:2014:FMC:2693848.2694010,"Goodarzi, Shadi Hassani; McKenzie, Kendall; Nataraj, Nisha; Ivy, Julie S.; Mayorga, Maria; Mason, Jennifer & Tejada, Jeremy",A Framework for Modeling the Complex Interaction Between Breast Cancer and Diabetes,,,,,1245--1256,2014,"Piscataway, NJ, USA",,http://dl.acm.org/citation.cfm?id=2693848.2694010,Proceedings of the 2014 Winter Simulation Conference,,,WSC '14,,
6,,ieee-100,"Gupta, N. K. & Tyagi, N.",Neurofuzzy inference system for stage classified of diabetes,,,,,,2014,,,,"Advance Computing Conference (IACC), 2014 IEEE International",,,,,"In this paper, adaptive neurofuzzy inference system(ANFIS) approaches for automatically classified the diabetes is presented. ANFIS, used fuzzy logic expert system for decision making ability and neural network learning approach of backpropagation algorithm. Simulated result shows, the proposed work is effectively working with accuracy to classified the diabetes of reducing error rate with .0524."
