OriginationTime,TransmissionTime,txSequenceNumber,loggerSequenceNumber,loggedTime,CDLConnectionHealth,ThrottlePosition___,EngineSpeed_rpm_,DesiredEngineSpeed_rpm_,BoostPressure_kPa_,EngineLoadFactor___,FuelConsumptionRate_l_h_,GroundSpeed_mph_,TransmissionOutputSpeed_rpm_,LockupClutchCurrent___,NeutralizeSwitchStatus,DirectionSwitchPositionStatus,RideControlSwitchStatus,TransmissionSwitchStatus,ParkBrakeSwitchStatus,DownShiftSwitchStatus,UpShiftSwitchStatus,LockupClutchEnableSwitchStatus,TorqueConverterSpeed_rpm_,GroundSpeedAndDirection_kph_,ShiftLeverPositionStatus,ActualGearStatus,ReverseSteeringSolenoidStatus,ParkBrakeStatus,ServiceBrakeStatus,AutoRetardModeStatus,AccelerationPedalStatus,FrontServiceBrakeOilPressure_kPa_,RearServiceBrakeOilPressure_kPa_,HydraulicOilTemperature_degC_,FuelGauge___,SystemVoltage_volts_,CorrectOriginationTime,Tonnage
1163551430,1163551430,1650,0,0,0,99.2,1908.5,2120,158,100,25.3,13,1279,0,Run,Forward,Auto,Manual,Off,Off,Off,Off,1607,0,FaultFNRP20,F4,Err-Unknown,Off,Released,Off,Depressed,55,57,87,95,28.2,19/11/2016 0:43,8.6
1163551433,1163551433,1655,0,0,0,85.6,2077.5,2120,67,18,15.8,10,966,0,Run,Forward,Auto,Manual,Off,Off,Off,Off,1991,0,FaultFNRP20,F3,Err-Unknown,Off,Released,Protective,Depressed,371,428,86,96,28.2,19/11/2016 0:43,8.6
1163551437,1163551437,1661,0,0,0,99.6,1677.5,2120,162,100,29,3.5,266,0,Run,Forward,Auto,Manual,Off,Off,Off,Off,1067,0,FaultFNRP20,F3,Err-Unknown,Off,Released,Off,Depressed,93,91,86,95,28.1,19/11/2016 0:43,8.6
1163551440,1163551440,1666,0,0,0,99.6,1556,2120,157.5,100,31.35,1.5,153,0,Run,Forward,Auto,Manual,Off,Off,Off,Off,616,0,FaultFNRP20,F1,Err-Unknown,Off,Released,Off,Depressed,48,48,86,96,28.2,19/11/2016 0:43,8.6
1163551444,1163551444,1672,0,0,0,99.6,1584.5,2120,151.5,100,30.65,1,89,0,Run,Forward,Auto,Manual,Off,Off,Off,Off,0,0,FaultFNRP20,F1,Err-Unknown,Off,Released,Off,Depressed,28,28,86,96,28.2,19/11/2016 0:43,8.6
1163551447,1163551447,1677,0,0,0,98.4,1404,2120,140.5,100,35.05,0.5,237,0,Run,Reverse,Auto,Manual,Off,Off,Off,Off,212,0,FaultFNRP20,F1,Err-Unknown,Off,Released,Off,Depressed,17,13,86,96,28.2,19/11/2016 0:43,8.6
1163551450,1163551450,1682,0,0,0,99.2,2129.5,2120,145,72,19.85,0.5,92,0,Run,Reverse,Auto,Manual,Off,Off,Off,Off,2054,0,FaultFNRP20,R1,Err-Unknown,Off,Depressed,Off,Depressed,104,134,86,96,28.2,19/11/2016 0:43,8.6
1163551454,1163551454,1688,0,0,0,80.8,1975,1999,101.5,67,21.75,3.5,326,0,Run,Reverse,Auto,Manual,Off,Off,Off,Off,1857,0,FaultFNRP20,R1,Err-Unknown,Off,Released,Off,Depressed,20,24,86,96,28.2,19/11/2016 0:43,8.6
1163551457,1163551457,1693,0,0,0,91.6,2048.5,2120,147,100,23.5,5.5,549,0,Run,Reverse,Auto,Manual,Off,Off,Off,Off,1813,0,FaultFNRP20,R2,Err-Unknown,Off,Released,Off,Depressed,21,22,86,96,28.2,19/11/2016 0:44,8.6
1163551461,1163551461,1699,0,0,0,99.2,1808,2120,165.5,100,26.85,10,1019,0,Run,Reverse,Auto,Manual,Off,Off,Off,Off,964,0,FaultFNRP20,R4,Err-Unknown,Off,Released,Off,Depressed,27,29,86,96,28.2,19/11/2016 0:44,8.6
1163551464,1163551464,1704,0,0,0,99.2,1842,2120,163,100,26.35,12.5,1262,0,Run,Reverse,Auto,Manual,Off,Off,Off,Off,1238,0,FaultFNRP20,R4,Err-Unknown,Off,Released,Off,Depressed,21,25,86,96,28.2,19/11/2016 0:44,8.6
1163551468,1163551468,1710,0,0,0,99.2,1894.5,2120,158,100,25.55,15.5,1521,0,Run,Reverse,Auto,Manual,Off,Off,Off,Off,1548,0,FaultFNRP20,R4,Err-Unknown,Off,Released,Off,Depressed,24,26,86,96,28.2,19/11/2016 0:44,8.6
1163551471,1163551471,1715,0,0,0,99.2,1968,2120,158.5,100,24.6,17.5,1761,0,Run,Reverse,Auto,Manual,Off,Off,Off,Off,1671,0,FaultFNRP20,R4,Err-Unknown,Off,Released,Off,Depressed,22,28,86,96,28.2,19/11/2016 0:44,8.6
1163551474,1163551474,1720,0,0,0,90.4,2148.5,2120,85,45,14.15,11.5,1104,0,Neutral,Reverse,Auto,Manual,Off,Off,Off,Off,2086,0,FaultFNRP20,N4,Err-Unknown,Off,Depressed,Off,Depressed,1453,1633,86,90,28.2,19/11/2016 0:44,8.6
1163551478,1163551478,1726,0,0,0,79.2,1744,1968,115.5,100,27.9,6.5,629,0,Run,Reverse,Auto,Manual,Off,Off,Off,Off,602,0,FaultFNRP20,R4,Err-Unknown,Off,Released,Off,Depressed,649,834,86,94,28.2,19/11/2016 0:44,8.6
1163551481,1163551481,1731,0,0,0,99.2,2014,2120,97,74,23.5,1,79,0,Run,Forward,Auto,Manual,Off,Off,Off,Off,2075,0,FaultFNRP20,F1,Err-Unknown,Off,Released,Off,Depressed,111,129,86,93,28.2,19/11/2016 0:44,8.6
1163551485,1163551485,1737,0,0,0,99.6,1793,2120,157,100,27.2,6,604,0,Run,Forward,Auto,Manual,Off,Off,Off,Off,1241,0,FaultFNRP20,F3,Err-Unknown,Off,Released,Off,Depressed,18,20,86,93,28.2,19/11/2016 0:44,8.6
1163551488,1163551488,1742,0,0,0,99.2,2052.5,2120,158,100,23.5,9,882,0,Run,Forward,Auto,Manual,Off,Off,Off,Off,1978,0,FaultFNRP20,F3,Err-Unknown,Off,Released,Off,Depressed,21,23,86,85,28.2,19/11/2016 0:44,8.6
1163551492,1163551492,1747,0,0,0,96.4,1801,2120,129.5,100,26.95,7,661,0,Run,Forward,Auto,Manual,Off,Off,Off,Off,1441,0,FaultFNRP20,F3,Err-Unknown,Off,Released,Off,Depressed,107,550,86,95,28.2,19/11/2016 0:44,8.6
1163551496,1163551496,1753,0,0,0,99.2,1924.5,2120,157,100,25.2,8,781,0,Run,Forward,Auto,Manual,Off,Off,Off,Off,1668,0,FaultFNRP20,F3,Err-Unknown,Off,Released,Off,Depressed,24,27,86,96,28.2,19/11/2016 0:44,8.6
1163551498,1163551498,1757,0,0,0,99.2,1864,2120,157.5,100,26,8.5,868,0,Run,Forward,Auto,Manual,Off,Off,Off,Off,1090,0,FaultFNRP20,F4,Err-Unknown,Off,Released,Off,Depressed,26,29,86,96,28.2,19/11/2016 0:44,8.6
1163551502,1163551502,1764,0,0,0,99.2,1595,2120,155.5,100,30.5,9,869,0,Run,Forward,Auto,Manual,Off,Off,Off,Off,1088,0,FaultFNRP20,F4,Err-Unknown,Off,Released,Off,Depressed,14,18,86,90,28.2,19/11/2016 0:44,8.6
1163551506,1163551506,1769,0,0,0,99.2,1792,2120,163.5,100,27.2,7.5,728,0,Run,Forward,Auto,Manual,Off,Off,Off,Off,1630,0,FaultFNRP20,F3,Err-Unknown,Off,Released,Off,Depressed,5,6,86,94,28.2,19/11/2016 0:44,8.6
1163551509,1163551509,1775,0,0,0,93.6,2108,2120,95.5,57,19.7,0.5,58,0,Run,Reverse,Auto,Manual,Off,Off,Off,Off,2044,0,FaultFNRP20,R3,Err-Unknown,Off,Released,Off,Depressed,94,121,86,97,28.2,19/11/2016 0:44,8.6
1163551513,1163551513,1780,0,0,0,99.2,1798.5,2120,161.5,100,26.95,6,603,0,Run,Reverse,Auto,Manual,Off,Off,Off,Off,1093,0,FaultFNRP20,R3,Err-Unknown,Off,Released,Off,Depressed,31,30,86,97,28.2,19/11/2016 0:44,8.6
1163551515,1163551515,1784,0,0,0,99.2,2037,2120,160,100,23.75,10.5,1078,0,Run,Reverse,Auto,Manual,Off,Off,Off,Off,1797,0,FaultFNRP20,R3,Err-Unknown,Off,Released,Off,Depressed,44,46,86,96,28.1,19/11/2016 0:44,8.6
1163551520,1163551520,1791,0,0,0,99.2,2017,2120,70.5,54,22.55,10,1020,0,Run,Reverse,Auto,Manual,Off,Off,Off,Off,2060,0,FaultFNRP20,R4,Err-Unknown,Off,Released,Off,Depressed,113,128,86,83,28.1,19/11/2016 0:45,8.6
1163551522,1163551522,1795,0,0,0,99.2,1881,2120,157,100,25.75,12,1203,0,Neutral,Reverse,Auto,Manual,Off,Off,Off,Off,2083,0,FaultFNRP20,N4,Err-Unknown,Off,Released,Off,Depressed,482,513,86,94,28.2,19/11/2016 0:45,8.6
