X,OriginationTime,TransmissionTime,txSequenceNumber,loggerSequenceNumber,loggedTime,CDLConnectionHealth,ThrottlePosition___,EngineSpeed_rpm_,DesiredEngineSpeed_rpm_,BoostPressure_kPa_,EngineLoadFactor___,FuelConsumptionRate_l_h_,GroundSpeed_mph_,TransmissionOutputSpeed_rpm_,LockupClutchCurrent___,NeutralizeSwitchStatus,DirectionSwitchPositionStatus,RideControlSwitchStatus,TransmissionSwitchStatus,ParkBrakeSwitchStatus,DownShiftSwitchStatus,UpShiftSwitchStatus,LockupClutchEnableSwitchStatus,TorqueConverterSpeed_rpm_,GroundSpeedAndDirection_kph_,ShiftLeverPositionStatus,ActualGearStatus,ReverseSteeringSolenoidStatus,ParkBrakeStatus,ServiceBrakeStatus,AutoRetardModeStatus,AccelerationPedalStatus,FrontServiceBrakeOilPressure_kPa_,RearServiceBrakeOilPressure_kPa_,HydraulicOilTemperature_degC_,FuelGauge___,SystemVoltage_volts_,NewOriginTime,NewTransmissionTime
40125,1162907679.1454,1162907679.1454,9455,0,0,0,65.2,1891.5,1722,42.5,0,0,11,1075,55.7,Run,Reverse,Auto,Auto 4,Off,Off,Off,On,1848,0,FaultFNRP20,R3,Err-Unknown,Off,Released,Off,Depressed,15,32,79,42,28.2,2016-11-11 13:54:58.145400,2016-11-11 13:54:58.145400
40128,1162907681.04581,1162907681.04581,9458,0,0,0,99.6,1983.5,2120,115,100,24.45,11.5,1149,55.7,Run,Reverse,Auto,Auto 4,Off,Off,Off,On,2013,0,FaultFNRP20,R3,Err-Unknown,Off,Released,Off,Depressed,14,31,79,36,28.2,2016-11-11 13:55:00.045810,2016-11-11 13:55:00.045810
40132,1162907683.60542,1162907683.60542,9462,0,0,0,34.4,1460.5,1142.5,26,0,0,10.5,1011,0,Neutral,Reverse,Auto,Auto 4,Off,Off,Off,On,1805,0,FaultFNRP20,N3,Err-Unknown,Off,Released,Off,Released,875,1085,79,49,28.2,2016-11-11 13:55:02.605420,2016-11-11 13:55:02.605420
40135,1162907685.50571,1162907685.50571,9465,0,0,0,94.4,1899,2120,96.5,100,25.4,8.5,869,80,Run,Reverse,Auto,Auto 4,Off,Off,Off,On,1757,0,FaultFNRP20,R3,Err-Unknown,Off,Released,Off,Depressed,110,153,79,53,28.2,2016-11-11 13:55:04.505710,2016-11-11 13:55:04.505710
40138,1162907687.40577,1162907687.40578,9468,0,0,0,99.6,1885,2120,123,100,25.65,11,1078,55.7,Run,Reverse,Auto,Auto 4,Off,Off,Off,On,1889,0,FaultFNRP20,R3,Err-Unknown,Off,Released,Off,Depressed,19,33,79,53,28.2,2016-11-11 13:55:06.405770,2016-11-11 13:55:06.405780
40141,1162907689.30593,1162907689.30594,9471,0,0,0,99.6,2020.5,2120,119.5,100,24,11.5,1156,55.7,Run,Reverse,Auto,Auto 4,Off,Off,Off,On,2030,0,FaultFNRP20,R3,Err-Unknown,Off,Released,Off,Depressed,23,39,79,50,28.2,2016-11-11 13:55:08.305930,2016-11-11 13:55:08.305940
40144,1162907691.20603,1162907691.20603,9474,0,0,0,99.6,2098.5,2120,119,99,22.9,12,1203,55.7,Run,Reverse,Auto,Auto 4,Off,Off,Off,On,2110,0,FaultFNRP20,R3,Err-Unknown,Off,Released,Off,Depressed,17,34,79,50,28.2,2016-11-11 13:55:10.206030,2016-11-11 13:55:10.206030
40147,1162907693.14635,1162907693.14635,9477,0,0,0,99.6,1840,2120,116.5,100,26.35,12.5,1237,0,Run,Reverse,Auto,Auto 4,Off,Off,Off,On,1226,0,FaultFNRP20,R4,Err-Unknown,Off,Released,Off,Depressed,15,30,79,49,28.3,2016-11-11 13:55:12.146350,2016-11-11 13:55:12.146350
40149,1162907694.38622,1162907694.38622,9479,0,0,0,99.6,1834,2120,123,100,26.5,13,1260,0,Run,Reverse,Auto,Auto 4,Off,Off,Off,On,1250,0,FaultFNRP20,R4,Err-Unknown,Off,Released,Off,Depressed,13,35,79,49,28.2,2016-11-11 13:55:13.386220,2016-11-11 13:55:13.386220
40152,1162907696.28633,1162907696.28633,9482,0,0,0,99.6,1839,2120,119.5,100,26.35,13,1294,0,Run,Reverse,Auto,Auto 4,Off,Off,Off,On,1300,0,FaultFNRP20,R4,Err-Unknown,Off,Released,Off,Depressed,16,33,79,49,28.2,2016-11-11 13:55:15.286330,2016-11-11 13:55:15.286330
